 taking a truck to  tmrw with water/non-perishables. Least I can do! #ymmfire #ymm,Y
Fascinante vidн©o en #timelapse d'un rн©sident qui fuit #FortMcMurray hier soir  #ymmfire,N
In case you need some heart melting in these hard times. #ymm #ymmfire  ,N
"""Run. Just run. We never made it back to our house, we didn't grab anything."" #ymmfire #abfires ",N
#ymmfire airport moments ago ,N
"Happy 2 learn people R safe &amp; sound _фпЌ_фЏй_фл__фН_Now praying 4 wildlife, pets, Catle left behind _фђ±_фђ__фђ__фђ‹_фђ__фђй  #ymmfire #FortMacFire #FortMcMurrayStrong",N
"can't even imagine having to grab what I can carry and leaving our home, not knowing if we'd be coming back again_ф»Ѓ #ymmfire #PrayForFortMac",N
When you exploit Mother Earth #ymmfire #ymm #oilsands  ,N
A link to the #ymm airport's webcam  #ymmfire,Y
"I'll be doing a charity livestream tomorrow, all proceeds will be going directly to the Red Cross in support of the #ymmfire #FortMacFire",Y
Military enroute #ymmfire ,N
The 50/50 and silent auction proceeds from tomorrow's  game is going to help #Ft.mcmurry . #ymmfire #ymm thanks St.Louis,Y
MODIS fire detection map for #ymm #ymmfire #FortMcMurray. Shows *general* burn area &amp; direction. More red is newer. ,Y
"Asst Comm Marlin Degrand: RCMP from BC, SK &amp; MB helping out in effort - still policing homes/biz #yeg #ymmfire ",Y
1000 cell phones shipped up by Telus for 1st responders. #ymmfire,Y
Take a moment to help those affected by #ymmfire &amp; txt RedCross to 30333 to donate $5 now #AlbertaStrong,Y
Provincial officials aren't sure what caused the #ymmfire yet - investigating whether it was human caused vs lightning strike,N
"We just talked to the woman from the house on the right. She's devastated but says ""it's just a house"" #ymm #ymmfire ",N
BREAKING: Cabinet has officially declared a provincial state of emergency due to #ymmfire,N
"Ok basement has been claimed, still have a spare room pets welcome #ymmhelps #ymmfire I'm in #yeg",Y
#ymmfire #FortMacFire  ,N
"Fire crews fight to save #FortMcMurray, ""we may lose a large portion of the town.""  #ymmfire ",N
cunny  #ymmfire #HalaMadrid #RealvCity #LCFCChampions #APLit #ewa16 #BBCAN4 #CongressNailedinRS #ExplainIowa #LFC,N
"WATCH LIVE: Larivee says upwards of 80,000 people affected by mandatory evacuation order in Fort McMurray #ymmfire",N
"Corrected: If you are from #ymm #ymmfire in the #yeg area &amp; -need- gluten free food, come to 10940-120st &amp; we'll help #ymmhelps",Y
Add Connacher to the list of #oilsands producers shutting down production as the #ymmfire continues raging. Great Divide down to 4k bpd.,N
Wow. Fort Mac went from voluntary evacuation for 3 neighbourhoods to full mandatory evacuation for the city in under 4.5 hrs. #ymmfire,N
looking for families staying at  who would prefer to be in a home. 2 bedrooms available in my house in Sherwood Park #ymmfire,Y
Weather not helping the #ymmfire situation. Increased winds of up to 50 km/h possible late tonight into Thurs AM.,Y
WATCH LIVE: Morrison says cause of Fort McMurray fire is still unknown #ymmfire #abfire ,Y
State of Emergency officially declared for Fort McMurray #ymmfire,Y
Does texting 30333 for the #ymmfire work in the USA?,Y
Can only imagine what Fort Mac is feeling during this time. Praying for friends and family &amp; the people looking for safety. #ymmfire дќ_,N
I believe all  stores accepting donations for #ymmfire and they will match up to $100.000,Y
WATCH LIVE: Long says fire has not encroached on water treatment plant as far as they're aware of #ymmfire #abfire ,N
WATCH LIVE: Larivee says multiple First Nations are accommodating evacuees #ymmfire #abfire ,Y
#YMMPets #YMMhelps #YMM #YMMFire,Y
PLS watch video as it explains why MONEY donations best 4  &amp; #FortMcMurrayStrong  #ymmfire #ymmhelps,N
TRAFFIC: Highway 63 Southbound is closed through the city - #ymm #RMWB #ymmfire,N
"#Shell halts #oilsands facility, to focus on #wildfire #evacuees.  #FortMcMurray #yMMfire ",Y
"My house burnt down in a forest fire when I was younger.. So scary.. I was in #FortMcMurray a few months ago, hope everyone is safe #ymmfire",N
"IT HAS BEEN A FANTASTIC RESPONSE SO FAR. IF ANYONE SEES ANY PRICE GOUGING, PLEASE POST. #FortMacFire #ymmfire #ymmhelps",N
"long shot but if anyone can pass this along that would be great, can't imagine how scary that is #ymmfire ",N
"Best way to help the 80,000 devasted residents of #FortMcMurray donate to    #ymmfire",Y
"FUEL UPDATE LAC LA BICHE: Shell - has fuelEsso - 5,000 L regular / 16,000 L diesel Petro - has fuel#ymm #ymmfire #rmwb",Y
"""We left with the clothes on our backs. My youngest didnду»t even have shoes on..."" #Ymmfire evacuee Miranda Sneddon. ",Y
"If evacuees have urgent medication questions or needs, can speak directly with an Edmonton  pharmacist 1-888-991-2299. #ymmfire",Y
"Our friends  need help responding to #YMMFire, text 'Redcross' to 30333  #ymm",Y
2 more full busses arriving. I would guess another 100 people arriving. #ymmfire,Y
"Oilsands production hit by Fort McMurray fires as companies focus on employees, evacuees. #yeg #yyc #ymmfire ",N
   Tom Moffat trying to further his climate change rhetoric by using #ymmfire. ,N
Give your mom the best Mother's day present ever. A donation to the Red Cross in her name. #ymm #ymmfire #MothersDay ,N
9 babies from intensive care unit evacuated from Fort McMurray hospital during fire #ymm #ymmfire #abfire,N
Nova Scotians are collecting donations for Fort McMurray  #ymmfire ,Y
"""We all know that this is the single biggest evacuation that we've seen from a fire...in the history of the province""  #ymmfire",N
"My parents have room in their house by Southgate. If you need a place, contact me and I will put you in touch #ymmhelps #yeg #ymmfire",Y
 helped us SO much during the flood. Your donations matter and make a difference! #ymmfire #donate  ,Y
". says gov't will do what it takes to get all of #ymm home, and all Alberta stands with Fort McMurray. #ableg #ymm #ymmfire",N
"думI feel incredibly guilty &amp; upset about having to leave my pets behind"": #ymm woman. #FortMacFire #ymmfire #ymmhelps ",Y
  man made climate change + Mother nature = #ymmfire,N
"Shout out to first responders, medical staff, media people and volunteers helping out in #YMM! Stay safe out there everyone #ymmfire",N
"The worst has yet to happen, praying everyone gets out safe. #ymmfire",N
WATCH LIVE: The latest on the Fort McMurray wildfire on Global News at Noon. ##ymmfire #ymm ,N
"near Northalta selling gas $1/litre till it's gone.Besides fire, fuel hot topic #ymmfire #cbc",Y
Anyone from #stalbert housing evacuees from #ymmfire and willing to talk to  I can be reached at 780-418-4741.,N
"A need for ""bug out bags"" in #climatechange era. Fort Mc Fire Teaches a Lesson |  via  #ymmfire #FortMacFire",N
"#Alberta Premier #RachelNotley to travel to #FortMcMurray today, meet local officials, survey affected areas if logistics allow. #ymmfire",N
"Please follow  2check out a listing of various businesses who r helping #ymmfire evacuees, frm free meals 2eyewear. #ymmhelps",Y
"Canadian gvmt is saying they're matching donations to Red Cross. Donate now, double the money you're sending to help #ymmfire #FortMacFire",Y
Vet clinic offering services to #ymmfire evacs  ##ymmhelps ,Y
So great to see our region help out with evacuees! #viking #ymmfire ,N
Our thoughts and prayers go out to everyone affected by the #YMMFire. Stay safe out there _фН_,N
About to board flight to get aerials of #ymmfire - will be tweeting as much as possible.  #yeg ,N
"Mayor Melissa Blake ""Greatest thanks today goes to citizens who managed to get to safety without loss of life."" #ymmfire #ymm",N
"Province says the #ymmfire is on the edges of Thickwood and Timberlea communities, which are under threat today if winds shift. #ableg",N
For PET OWNERS in #ymm #ymmfire ,Y
"Coming up on #CBC Radio a Canada-wide call in about #FortMcMurray #ymmfire 99.3 FM in #ymm 93.9, 740AM in #yeg",N
#ymmfire heading towards airport. My brother is evacuating but no mandatory evac order yet for airport or Saprae Creek #ymm,N
  It's spooky driving through #ymm this morning.No one around fire alarms going off #ymmfire ,N
For any evacuees seeking assistance #ymm #ymmfire #ymmhelps ,Y
Our thoughts and prayers are with all those affected by #ymmfire #ymm &lt;3,N
This just breaks your heart. I hope there are many reunions to come. #ymm #ymmfire    ,N
#ymmfire roadside gas filling offered sporadically from tankers and emergency vehicles for those needing it along highways.,Y
 thank you for helping make sure our pets stay safe too #ymmstrong #ymmfire,Y
"Our thoughts are with the Fort McMurray community, and firefighters and first responders battling the #ymmfire. ",N
"What to do, how to help when so many are in crisis? If you happen to be here in Lethbridge from #ymmfire #fortmcmду_ ",N
So many incredible people! Huge thanks to the ladies at the Co-Op in Boyle who are still working hard to help evacuees! #ymm #ymmfire,N
Alberta Premier Rachel Notley says she expects to fly to Fort McMurray this morning and tour area  #FortMcMurray #ymmfire #CBC #yeg,N
"Serious loss of structures in Abasand, and Waterways, downtown FT Mac remains undamaged. #ymmfire #ymm ",N
#ymmfire prayers for Fort McMurray ,N
#evacuees #ymmfire ,N
Military is now waiting for direction from officials on what's needed. #ymm #ymmfire,N
 Larger List for #FortMcMurray #ABFire дус #Animal-Aid #ymmfire #ymmhelps _фђ__фђ±_фђ_де€ ,Y
#Calgary ready and willing to help #FortMcMurray  #yyc #ymm #ymmfire ,N
WATCH LIVE @ 10:15: Alberta Premier  provides an update on wildfires:  #ymmfire,N
. says the province has received tremendous support from communities across Alberta. #ymm #ymmfire,N
Our thoughts are with everyone affected by the #YMMFire including our  brothers and sisters. Stay safe.,N
Fire chief says there will be a rotation of #yeg fire crews helping in #ymmfire,N
RT  Video from one of my #firefighters taken am.  #ymmfire he fought all night non stop. ,N
"If you use the #ymmfire to either slam the NDP OR the oil industry, you're being just as shitty &amp; you should be ashamed. #YMM #ymmwildfire",N
#ymm #ymmfire #morinville ,N
The climate change factors lurking behind the Fort McMurray wildfire #ymmfire ,N
#ymmfire #ymmhelps # ,Y
I'm praying the winds stay light today and the fire continues to move away from #ymm. #ymmfire,N
Our hearts are open but be leery of fake Ft. McMurray donation sites. Only go to valid websites you know ie  #ymmfire,Y
"This #YMMFire had me thinking, what kind of solution could public transportation play in helping people evacuate in a short time frame?",Y
   #ymmfire,N
. accepting donations via text to support those affected by #ymmfire  #helpymm. ,Y
" hey guy, would love to see you touch on the massive fires taking over Fort McMurray in Alberta, Canada today if you can. #ymmfire",Y
It's #StarWarsDay #Maythe4thbewithyou especially for friends involved in #ymmfire be safe all,N
Well done  for giving out free mobile calling and texts for folks affected in #ymmfire,Y
I made a donation to the Canadian Red Cross. You can too!  also text REDCROSS to 30333 for $5. #ymmfire #ymmhelp,Y
Thinking of everyone in Fort McMurray today. #ymmfire,N
"#ymmfire just made a donation to  . BE CAREFUL when making a donation, in disasters like this scammers appear.",Y
 I hope all Corporations like Global are making sizeable donations as well.  #ymmfire #ymm,Y
 didn't you use an oil product to tweet that? Seems like you care none for the environment or Albertans. #ymmfire #AnotherLoser,N
I just donated2 help those who need it most &amp; lost everything.Anyone who can donate 2 the  #ymmfire,Y
"Need a place to stay, need a home cooked meal, we are in Victoria but we are here for you. Family &amp; pet friendly #ymmfire  #ymm",Y
Respect to everyone going through #ymmfire,N
Praying for Fort Mac. #ymmfire,N
"How big is the Fort McMurray wildfire? How #ymmfire's size compares to London, NYC &amp; Toronto  ",Y
'It's our turn': Syrian refugees help Alberta fire victims #ymmfire   ,N
"Notley: Cabinet has authorized government to prov. financial assistance to those displaced $1250 per adult , $500 per dependent. #ymmfire",N
Albertans are being asked to AVOID going out into Alberta forests this weekend with the fire hazard being as high as it is #ymmfire #yeg,N
Councillor Mark Missal released the following photo of the #ymmfire ,N
All evacuees should register with the Red Cross дус Online at RedCross.ca or call 1-888-350-6070 #ymmfire,Y
"After a very difficult day, this story - among so many others - makes me proud to be an Albertan. #ymmfire ",N
New temp fuel station set up ~30km north of #ymm for Hwy 63 evacuation convoy south. Limited quantities. #ymmfire,Y
#Alberta #ymmfire for highway conditions &amp; safety information 24/7 call 511 or tweet  or visit  #hmrd,Y
.   Reg for membership w/ promo code YMMFire w/  and we'll donate $10 to  #ymmfire,Y
 I agree with him. This isn't the time for political posturing a la Elizabeth May! #ymmfire,N
"Fort McMurray wildfire: RCMP convoys shuttle trapped evacuees south as fire grows to 100,000 hectares. #ymmfire",N
Join this morning's #ymmfire pancake breakfast at Churchill Sq!  ,N
