And another shooting... https://t.co/aYfTWoR7QJ,carolynklimp1
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,livelovelaughsb
I just can’t anymore.... #GunControlNow https://t.co/GmTYXeCeW1,NETSlRK
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,SanPants
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,foldfreenews
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,ScottMalone91
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,AdedapoLinda
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,WillRodgersJr
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,K11Marc
Overland Park  Kansas shooting: Two workers critically wounded outside elementary school Police say shots were fire… https://t.co/pcNocc8wqo,1032shotsfired
UPDATE: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody »… https://t.co/kOePWBDenx,WBTV_News
Wtf? https://t.co/nsNuAwaTQp,GottaLoveRoy_
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,K11Marc
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,Davelotz1
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,scottieee__
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,chloeemarge
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,keelo316
Two workers critically wounded in shooting at Kansas school https://t.co/358QTQp8KF,VicBullard
America. https://t.co/mbH9J6besI,dnecromancerr
RT @9NEWS: Two contractors critically wounded in Kansas school shooting https://t.co/JByTPoLUeX https://t.co/Wlagl66D9N,D08205955
1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody https://t.co/jKw9xR71nw,HowardBallou
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,GrandSuSu
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,BMatteau
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,iPulledDaTrigga
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,kitchendj
RT @WTHRcom: The suspect stole a vehicle after shooting two employees at an elementary school in Overland Park  Kansas. The suspect is stil…,omfgkarlee
RT @MattxRed: It’s summer and we are still averaging a school shooting a week.   The school safety committee isn’t talking about guns.  The…,ReadySetRock75
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,omfgkarlee
UPDATE: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody… https://t.co/q3LatF3GwG,WLBT
RT @jrussell20941: Here’s an example of “fake” real news. Today’s headline “School Shooting in Kansas” it did happen at a school  no studen…,edzsplace
UPDATE: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody… https://t.co/35BRJh2fOs,Fox40News
Man arrested in shooting of 2 workers at Kansas elementary school #shooting  https://t.co/vjCv8NcqQK,heliumhusker
RT @GottaLaff: Another day  another... Police say they are responding to reports of a double shooting at an elementary school in Overland P…,Meouse
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,meadllar
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,Jayy_Rapp
RT @thehill: #BREAKING: Two workers shot at Kansas elementary school https://t.co/si2VOOkLne https://t.co/pUtOJYPfXw,churchladysays
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,angelnurseblaze
Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the… https://t.co/XkX3pMZGrN,NBCNews
KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies… https://t.co/uYF5fXDfeJ,ABC7
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,horning_roberta
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,KathleenWeidma2
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,whytheparty
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,alitamighela
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,_WSBG
Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the… https://t.co/z1atDmJgIG,NBCNews
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,iveyjanette_207
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,MaryAnneGruen
Workers Injured In School Shooting At Sunrise Point Elementary In Overland Park  Kansas… https://t.co/9AEl8OSmgq,cgnetwork
Why? Why? Why? https://t.co/uEHdzU897c,WritingByLefave
The shooter couldn't get to the White House  so he did another school. https://t.co/YkXPKiFnfI,DrColinfan
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,Rebeckahtx
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/XzTE3Ljijf,7News
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,chadglasn
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,beatles510
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,GiselletheeBest
#Update on shooting outside Kansas elementary school. https://t.co/6PtwaRrL4d,MaggieWade9
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,stemple_jim
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,Meghatron24
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,MaryDram
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,eangelina64
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,kaegoe_
It will be interesting to see if this shows up in lists of school shooting. https://t.co/vPSbK9fDAX,ConservativeLA
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,sponson
RT @7News: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/XzTE3Ljijf,Billofusa
Another school shooting. https://t.co/nRneMXAkGV,RareBeautyGems
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,ExKage
A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas… https://t.co/PvuQEfBpjE,teamtrace
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,Herronisland
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,teawitray
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,kabraun7
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,I_Hart_Sneakers
Two workers critically wounded in shooting at Kansas school https://t.co/ZpSTcTduoI #ElementarySchool #OverlandParkKansas #Kansas,NewsLoops
if you say “guns are not the issue” you’re lying to yourself. https://t.co/NL1VuXhnUY,nurahabdulhaqqq
2 workers shot at elementary school in Overland Park  Kansas https://t.co/uYNoVo13FS https://t.co/Y1jEBxP1bX,wyffnews4
RT @thehill: #BREAKING: Two workers shot at Kansas elementary school https://t.co/si2VOOkLne https://t.co/pUtOJYPfXw,MzGlamMami
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,ElephantCoyote
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,runnain
Although no students were at the school when the shooting happened  far-left gun control groups will count this as… https://t.co/c7nmThPLrz,RealSaavedra
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,shannonrwatts
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/FpuSMWo3yr https://t.co/uzSISaRKMu,Canoe
Schools are no longer safe havens @clairemonttimes https://t.co/lI62TMzs6s,TanyaSawhney05
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,sandyc1772
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,annerichardsDRC
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,AlejoEC
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,LakersGold
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,AustexComputers
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,Opak03
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,Hogan7241
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,Aliquickk
RT @SputnikInt: Two workers critically wounded outside the Sunrise Point Elementary School in Overland Park  #Kansas - reports https://t.co…,FirstJpn
@17roseV @Sarahchadwickk Hey  @gop “Leadership” have you heard about shooting in Kansas at the ELEMENTARY school? S… https://t.co/FcTLKbYB8D,Smith58Robyn
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,soyboy2000
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,Vikings202
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,michelleking66
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,MEGfHORN
RT @SputnikInt: URGENT: Two critically injured in elementary school #shooting in US state of #Kansas - police https://t.co/oAkDwCWV0V https…,FirstJpn
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,SACharmaine
A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas… https://t.co/yxs0vbQ7H0,RebelLiberal
RT @9NEWS: Two contractors critically wounded in Kansas school shooting https://t.co/JByTPoLUeX https://t.co/Wlagl66D9N,01greenen
It will be interesting to see if this shows up in gun control advocates' lists of school shootings. https://t.co/vPSbK9fDAX,ConservativeLA
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,Nashville_Nate
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,Avi_141
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,KellyGr83803450
@ChargersNdChill this is what’s going to happen to you if you keep calling dudes at work “little man” https://t.co/GxuOUPjfyR,ginacabadas
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,FrancaRose33
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,KzooMovieDude
"Notice how the sensationalizing ""journalist"" had to put SCHOOL in the title  even though it was at a construction s… https://t.co/VypW5tvYgd",NativeSphere
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,TheLukasKrycek
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,bellvedere
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,KpoghaSamuel
*face into palm* oh boy https://t.co/kPbaRlSj4o,ToughGirl777
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,SSzczerbinski
RT @AalayahEastmond: And there’s still people saying this isn’t a problem. DONT WAIT UNTIL ITS YOU. DONT WAIT UNTIL YOU GET THAT CALL FROM…,ReadySetRock75
@DLoesch https://t.co/zLR3f138TT,ACDC_fanatic
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,Ares5280
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,KpoghaSamuel
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,Pikturit_
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,Wonder0_oWoman
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,Katiem616
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,IsCool
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,Kimunjo1
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,TodayInWyoming
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,eightmjc
RT @OANN: #BREAKING: 2 workers have been shot outside of Sunrise Elementary School in Kansas  no reports of students injured  search for su…,kjmitchellky
KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies… https://t.co/MnEi4dhz0m,BreakinNewz01
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,m_ajoo
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,PaineLana
RT @7News: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/XzTE3Ljijf,MALABeagle
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,SergiyYunak
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,Tonymar15755720
RT @becher_casey: Another school shooting. This is about 1.5 miles from our old house. @casforachange used to have soccer practice at Sunri…,m4olneveragain
RT @wvjoe911: Co-worker allegedly shoots 2 contractors installing playground equipment at Kansas elementary school  - ABC News - https://t.…,specklight
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,k__hines
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,boudrmar
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,CerebralGURL
When is this going to stop? https://t.co/K5Vdk9T1Pm,JessieSlaterTV
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,MackenzieThaden
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,learnteachwin
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Zayn_Flwr
One dead after shooting at Kansas school; suspect in custody https://t.co/KEoljXX2ll via @upi,JSnoBuni
Two contractors critically wounded in Kansas school shooting https://t.co/UebiDxEqE2 via @WUSA9,_LessonsOfLife
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,ThisIsGinaMo
You know what makes you safer? More guns. https://t.co/KDHhZPVlBS,AlanEvil
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,AmertatD
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,lawbibliophile
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,jocelyn_madi
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,mochegato
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,11_11tiger
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,robertolopez144
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,TheEvomo
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,GayJessegirl
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,YoungMyles_
Yet again? https://t.co/8oFEh2r5ih,Panyol
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,YoFatherFigure
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,pollsstar
"RT @NativeSphere: Notice how the sensationalizing ""journalist"" had to put SCHOOL in the title  even though it was at a construction site...…",w_trowbridge
Suspect arrested in shooting of 2 construction workers at Kansas school https://t.co/kxNr7ybtKu,Mandelamen
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,soyboy2000
RT @7News: Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/XzTE3Ljijf,steveindpls
Worker #dies after #shooting outside #Kansas elementary #school - Jul 3 @ 5:10 PM ET  https://t.co/7cpHIAVOOx,PulpNews
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,MamaChryl
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,pollsstar
You should always bring your gun to work  just in case you get irritated at a co-worker. https://t.co/AU3RvxUZTN,fathermag
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,LuvUGeorgeM
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,LuvUGeorgeM
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,PeLeif
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,robinlovestobe1
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,smokeyvera
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,LudovicoelMoro3
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,SharonSharonh10
Oh god sake https://t.co/vumStsw4lR,McMasterShell
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,JEResist
RT @TAPAlerts: BREAKING ALERT: Two workers shot at an Overland Park  Kansas elementary school. More updates to follow.,CountDVB
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,RobertAntwone
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,RobertAntwone
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,EF686
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,glamama
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,doitdiddy
BREAKING: 2 in critical condition after elementary school shooting in Kansas; suspect on the loose… https://t.co/I3upKxroo6,gentress1
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,leng305
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,CarrieFerguso10
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,alyssawood011
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,kilgore9669
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,Vrtlnsanity
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,ActiveDallasite
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,BillQuarks
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,SadAmericans2
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,MrGreatwunn
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,ABPolitical
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,sksnky
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,SydWeedon
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,kweriousgeorge
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,skrbelly1
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,moderatemama
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,sksnky
RT @NBCNews: Two workers critically wounded in shooting outside Kansas elementary school. No students were at the school at the time  accor…,Deede55Dee
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,LittleWashita
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Dumbelly
Two contractors critically wounded in Kansas school shooting https://t.co/FcQYB1IzqY,WFMY
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,wood_derek123
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,LudiePLH
2 Workers Shot  At Kansas Elementary School https://t.co/vkP2C4ICyA https://t.co/zBssiJY1oy,nybulletins
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,tbrennan666
WHO WHAT this sounds incoherently familiar. Why so secretive?    Two workers critically wounded in shooting at Kans… https://t.co/1rPYfnZGWJ,against_machine
1 dead  1 injured in shooting outside elementary school in Kansas https://t.co/E2GaRldkXt,Phylter52
Top story: Co-worker allegedly shoots 2 contractors installing playground equip… https://t.co/Fyxw2oUREp  see more https://t.co/KN1nIiyqVu,temptinTAUREAN
UPDATE: Suspect Arrested in Kansas Elementary School Shooting - https://t.co/xaNvgrqIWa,GreatQanon
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,hstep5
1 #dead  1 injured in #shooting outside elementary #school in #Kansas; #Suspect in custody - Jul 3 @ 5:16 PM ET  https://t.co/m79YYfFTJu,PulpNews
Worker dies  another critically wounded after shooting outside elementary school https://t.co/Psiwz8Cynr #SmartNews,WendyTeller
RT @wbkotv: Police have provided no details about the injured workers or the circumstances of the shooting  but no students were hurt. http…,Star30659700
@krassenstein @SenateMajLdr Hey  @gop “Leadership” have you heard about shooting in Kansas at the ELEMENTARY school… https://t.co/0iVUP8KGhH,Smith58Robyn
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,RicanInBoston2
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,lindsayb489
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,BoricuaMXMari
Overland Park  Kansas shooting: Two workers critically wounded outside elementary school https://t.co/6mGVl96Q7x #shooting,WhoShotClaire
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,bzwatching
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,thebitterestman
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,alfdom
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,SisterhoodTribe
Damn assholes. https://t.co/4PxEs9SvUN,markusgarvey
RT @GottaLaff: Another day  another... Police say they are responding to reports of a double shooting at an elementary school in Overland P…,billiegirltoo
RT @RealSaavedra: Although no students were at the school when the shooting happened  far-left gun control groups will count this as a “sch…,calcatstarr
RT @thehill: JUST IN: Two workers shot at Kansas elementary school https://t.co/dGFwaGzU3r https://t.co/dlRfQz1zox,expatina
Two workers critically wounded in shooting at Kansas school https://t.co/rledX0a8sQ via @nbcnews,wonderfullone
@krassenstein @JoyAnnReid @MSNBC @CNN @ChrisCuomo https://t.co/AFf6piruTL,D_Newk
RT @thehill: #BREAKING: Two workers shot at Kansas elementary school https://t.co/si2VOOkLne https://t.co/pUtOJYPfXw,4FreemanLittle
Today in Armed America. #HeyHeyNRA https://t.co/q7Tyo5aA63,expatina
JUST IN: 2 in critical condition from shooting at Kansas elementary school: Police. Open the app for more details.… https://t.co/RWFpXpwNUu,aradia1952
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,BMikes76
Two workers critically wounded in shooting at Kansas school https://t.co/K8mxZiZRRj,kellyoglesby
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,IbrahimQahtani7
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,yaya17017
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,StringToTheMax
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Helentohell
@FoxNews   https://t.co/Afi9J6Y2qG,winfrey_mark
RT @teamtrace: A construction worker shot and critically wounded two of his co-workers as they labored on a playground at a Kansas elementa…,gagen_patricia
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,ImpeachTheNazi
RT @wvjoe911: Co-worker allegedly shoots 2 contractors installing playground equipment at Kansas elementary school  - ABC News - https://t.…,MsCLStewart
RT @ABC7: KANSAS UPDATE: One of the two contract workers injured in shooting outside Kansas elementary school dies https://t.co/0sE1G0p6id…,A1_FirstLady
RT @wonderfullone: Two workers critically wounded in shooting at Kansas school https://t.co/rledX0a8sQ via @nbcnews,SaysSheToday
2 shot at Kansas elementary school; gunman at large - https://t.co/fqDQx9ZKMC https://t.co/BArqh2jwig,marchionorr
Shooting outside Kansas school leaves 1 dead  1 wounded https://t.co/pxzkWAy74F,dpd508
