#bcwildfire,19265
of,5855
help,3125
is,2902
with,2733
,1971
are,1966
from,1899
this,1804
evacuees,1792
@globalbc:,1755
@bcgovfireinfo,1611
@redcrosscanada,1522
@emergencyinfobc:,1511
b.c.,1395
if,1383
affected,1362
british,1350
#evacuation,1342
emergency,1335
or,1301
columbians,1235
red,1211
wildfires,1208
please,1162
lake,1147
mile,1142
williams,1138
not,1075
100,1073
cross,1002
donate,970
due,955
as,921
house,914
bc,907
video,878
canadian,875
#bcwildfires,861
all,844
#kamloops,836
donating,826
be,818
courtesy,813
b.c.'s,796
"airport,",778
bryan,776
johns.,776
"now.""",775
p.m.,774
8:35,773
"""apocalypse",773
state,758
more,754
near,742
out,730
at:,725
@justintrudeau:,722
up,717
cariboo,692
going,682
@bcgovfireinfo:,680
@harjitsajjan:,675
just,670
has,655
#cachecreek,642
fuel,640
current,636
helicopters,624
#ashcroft,608
evacuation,606
burning,606
-,603
@t_clarky22,603
prince,594
@ah035:,593
assist,588
#bcwildfire.,582
around,581
#bcfires,577
order:,574
latest,569
support,566
@cknw:,557
follow,555
@emergencyinfobc,554
people,553
area.,552
livestock,548
1,546
how,542
your,533
donation,531
been,528
thoughts,518
everyone,516
stay,513
#bcpoli,507
about,506
kamloops,502
call,502
so,501
area,494
provincial,494
updates,493
issued,492
*5555,486
wishing,483
800,482
new:,480
appeal:,469
crews,463
take,463
will,459
here,450
register,449
what,437
@redcrossbc:,426
impacted,426
evac,426
says,424
@drivebc:,418
info,416
creek,413
@bcgovnews:,412
"#bcwildfire,",411
place,407
today.,406
update:,405
some,404
firefighters,399
#bcwildfire:,397
i,394
air,392
#bcfire,388
report,386
here's,383
begin,382
my,380
h…,375
#100milehouse,369
safe,363
last,363
@preparedbc,359
flames,356
interior.,353
central,353
@preparedbc:,352
closed,352
starts,352
right,349
across,345
$10,337
138,336
should,334
confirmed,333
province,333
663-5555,331
text,330
"declared,",330
⚠️,329
george.,328
their,325
ready,325
toll-free.⚠️,325
orders/alerts,324
thanks,321
#bcfiresappeal,321
being,320
update,320
evacuees:,316
alert:,309
tomorrow…,308
water,306
no,304
donations,303
@kamscan:,298
look,297
it,291
bans/restrictions:,289
htt…,288
@drivebc,284
open,283
@jjhorgan:,279
ht…,279
centre,278
#bcwildfire…,277
government,277
evacuated,277
#bchwy5,276
areas,275
map,272
relief,271
over,271
information,270
"cellphone,",269
was,269
through,269
#williamslake,268
#princetonbc,267
situation,259
@insurancebureau:,255
smoke,254
animals,250
safe.,250
george,249
get,247
fort,246
highways,243
45678,242
evacuating,241
#cariboo.,239
currently,238
@cfjc_today:,238
orders,237
you've,235
evacuate,234
alert,234
response,234
alexis,232
#ashcroftbc,231
who,230
ranch,229
know.,229
#bc,228
@akurjata:,228
online:,227
that,225
region:,224
july,224
whispering,223
ep,223
pines,223
grass,223
2017:,223
mountain,221
1800,220
offering,218
@chieflebourdais:,218
f…,217
@jjhorgan,216
homes,215
(please,214
